playerID,yearID,lgID,POS,awardID,gold_glove,Training_Validation
aardsda01,2013,NL,P,,NO,Training
aardsda01,2015,NL,P,,NO,Training
abadfe01,2013,NL,P,,NO,Training
abadfe01,2014,AL,P,,NO,Training
abadfe01,2015,AL,P,,NO,Training
abadfe01,2016,AL,P,,NO,Training
abadfe01,2016,AL,P,,NO,Training
abadfe01,2017,AL,P,,NO,Training
abadfe01,2019,NL,P,,NO,Training
abadfe01,2021,AL,P,,NO,Training
abadfe01,2023,NL,P,,NO,Validation
abbotan01,2023,NL,P,,NO,Validation
abbotco01,2021,NL,P,,NO,Training
abbotco01,2022,NL,P,,NO,Training
abbotco01,2023,NL,P,,NO,Validation
abramcj01,2022,NL,2B,,NO,Training
abramcj01,2022,NL,OF,,NO,Training
abramcj01,2022,NL,SS,,NO,Training
abramcj01,2022,NL,SS,,NO,Training
abramcj01,2023,NL,SS,,NO,Validation
abreual01,2020,AL,P,,NO,Training
abreual01,2021,AL,P,,NO,Training
abreual01,2022,AL,P,,NO,Training
abreual01,2022,AL,P,,NO,Training
abreual01,2022,AL,P,,NO,Training
abreual01,2023,AL,P,,NO,Validation
abreubo01,2014,NL,OF,,NO,Training
abreubr01,2019,AL,P,,NO,Training
abreubr01,2020,AL,P,,NO,Training
abreubr01,2021,AL,P,,NO,Training
abreubr01,2022,AL,P,,NO,Training
abreubr01,2023,AL,P,,NO,Validation
abreujo02,2014,AL,1B,,NO,Training
abreujo02,2015,AL,1B,,NO,Training
abreujo02,2016,AL,1B,,NO,Training
abreujo02,2017,AL,1B,,NO,Training
abreujo02,2018,AL,1B,,NO,Training
abreujo02,2019,AL,1B,,NO,Training
abreujo02,2020,AL,1B,,NO,Training
abreujo02,2021,AL,1B,,NO,Training
abreujo02,2021,AL,3B,,NO,Training
abreujo02,2022,AL,1B,,NO,Training
abreujo02,2023,AL,1B,,NO,Validation
abreuto01,2013,NL,2B,,NO,Training
abreuto01,2013,NL,3B,,NO,Training
abreuto01,2013,NL,SS,,NO,Training
abreuto01,2014,NL,2B,,NO,Training
abreuto01,2014,NL,3B,,NO,Training
abreuwi02,2023,AL,OF,,NO,Validation
aceveal01,2013,AL,P,,NO,Training
aceveal01,2014,AL,P,,NO,Training
acevedo01,2021,AL,P,,NO,Training
acevedo01,2022,AL,P,,NO,Training
acevedo01,2023,AL,P,,NO,Validation
achteaj01,2014,AL,P,,NO,Training
achteaj01,2015,AL,P,,NO,Training
achteaj01,2016,AL,P,,NO,Training
ackledu01,2013,AL,1B,,NO,Training
ackledu01,2013,AL,2B,,NO,Training
ackledu01,2013,AL,OF,,NO,Training
ackledu01,2014,AL,OF,,NO,Training
ackledu01,2015,AL,2B,,NO,Training
ackledu01,2015,AL,OF,,NO,Training
ackledu01,2015,AL,1B,,NO,Training
ackledu01,2015,AL,2B,,NO,Training
ackledu01,2015,AL,OF,,NO,Training
ackledu01,2016,AL,1B,,NO,Training
ackledu01,2016,AL,2B,,NO,Training
ackledu01,2016,AL,OF,,NO,Training
actonga01,2023,AL,P,,NO,Validation
acunaro01,2018,NL,OF,,NO,Training
acunaro01,2019,NL,OF,,NO,Training
acunaro01,2020,NL,OF,,NO,Training
acunaro01,2021,NL,OF,,NO,Training
acunaro01,2022,NL,OF,,NO,Training
acunaro01,2023,NL,OF,,NO,Validation
adamecr01,2014,NL,2B,,NO,Training
adamecr01,2014,NL,SS,,NO,Training
adamecr01,2015,NL,2B,,NO,Training
