yearID,lgID,1B,2B,3B,HR,AB,Total_Bases,SLG,DH_rule
1876,NL,4484,633,181,40,20121,6453,0.320709706277024,No_DH
1877,NL,3046,431,204,24,13667,4616,0.33774785980829736,No_DH
1878,NL,2903,481,132,23,13644,4353,0.3190413368513632,No_DH
1879,NL,4838,958,317,58,24155,7937,0.3285862140343614,No_DH
1880,NL,4576,980,328,62,24301,7768,0.3196576272581375,No_DH
1881,NL,4891,1068,304,76,24377,8243,0.33814661361119086,No_DH
1882,AA,3292,545,219,52,16853,5247,0.3113392274372515,No_DH
1882,NL,4624,1071,404,126,24769,8482,0.34244418426258627,No_DH
1883,AA,5665,960,478,114,28658,9475,0.330623211668644,No_DH
1883,NL,5492,1527,468,124,29012,10446,0.36005790707293533,No_DH
1884,AA,8415,1574,833,243,46186,15034,0.32550989477330794,No_DH
1884,NL,6109,1216,425,321,32687,11100,0.3395845443142534,No_DH
1884,UA,5823,1230,279,125,30439,9620,0.31604191990538455,No_DH
1885,AA,6061,1026,553,149,31602,10368,0.3280805012340991,No_DH
1885,NL,5763,1167,412,174,31123,10029,0.3222375734986987,No_DH
1886,AA,7298,1339,649,164,38930,12579,0.32311841767274596,No_DH
1886,NL,6429,1340,506,249,33997,11623,0.341883107333,No_DH
1887,AA,8062,1638,687,223,38923,14291,0.36716080466562184,No_DH
1887,NL,7080,1450,711,383,35812,13645,0.38101753602144534,No_DH
1888,AA,7073,1251,545,188,37983,11962,0.3149303635837085,No_DH
1888,NL,6901,1200,509,333,37456,12160,0.3246475865014951,No_DH
1889,AA,7777,1493,618,296,38940,13801,0.354417051874679,No_DH
1889,NL,7628,1522,465,371,37538,13551,0.36099419255154774,No_DH
1890,AA,7340,1258,560,187,37003,12284,0.33197308326351915,No_DH
1890,NL,7319,1376,586,257,37587,12857,0.3420597547024237,No_DH
1890,PL,7944,1576,749,320,38653,14623,0.378314749178589,No_DH
1891,AA,7672,1243,659,291,38662,13299,0.3439811701412239,No_DH
1891,NL,7552,1388,610,294,38998,13334,0.34191496999846144,No_DH
1892,NL,12209,2007,1010,417,63876,20921,0.3275252050848519,No_DH
1893,NL,12209,2197,1047,460,56898,21584,0.3793454954479947,No_DH
1894,NL,13127,2753,1300,629,57577,25049,0.43505219097903675,No_DH
1895,NL,12928,2414,997,488,56788,22699,0.39971472846375994,No_DH
1896,NL,12565,2166,1006,404,55577,21531,0.387408460334311,No_DH
1897,NL,12868,2322,964,368,56663,21876,0.3860720399555265,No_DH
1898,NL,13668,2088,900,299,62661,21740,0.346946266417708,No_DH
1899,NL,14177,2201,1011,352,62846,23020,0.3662922063456704,No_DH
